names,members,birth_name,birth_place,birth_date,gender,category,spotify track artist audio.artist_name,spotify track artist audio.artist_id
Jerry Cantrell,,Jerry Fulton Cantrell Jr.,"[[Tacoma, Washington]], U.S.",{{birth date and age|1966|3|18}},male,American_male_guitarists,Jerry Cantrell,5HUFo8AH9ZILmlyKFfEMNP
The Boo Radleys,Tim Brown<br/>Simon “Sice” Rowbottom<br/>Rob Cieka,,"[[Wallasey]], England",,,,The Boo Radleys,6UYwzZChuolxsylHcZcBBP
Dog's Eye View,,,"Los Angeles, California",,,,Dog's Eye View,0ymKv4fh2eBhPT9HLTu8yH
Seven Mary Three,,,"[[Williamsburg, Virginia]], [[United States]]",,,,Seven Mary Three,2zsLaQhHFdQPdFXqG1nRmM
Candlebox,[[Kevin Martin (American musician)|Kevin Martin]]<br />[[Adam Kury]]<br />Brian Quinn<br />[[Island Styles (musician)|Island Styles]]<br />[[BJ Kerwin]],,"[[Seattle]], Washington",,,,Candlebox,3R6c2tWDBeYB1GncjLMn9n
ZZ Top,"*[[Billy Gibbons]]
* [[Frank Beard (musician)|Frank Beard]]
* Elwood Francis",,"[[Houston|Houston, Texas]], U.S.",,,,ZZ Top,2AM4ilv6UzW0uMRuqKtDgN
Metallica,"* [[James Hetfield]]
* [[Lars Ulrich]]
* [[Kirk Hammett]]
* [[Robert Trujillo]]",,"[[Los Angeles]], [[California]], U.S.",,,,Metallica,2ye2Wgw4gimLv2eAKyk1NB
Kenny Wayne Shepherd,,Kenny Wayne Brobst,"[[Shreveport, Louisiana]], U.S.",{{birth date and age|1977|06|12}},male,American_male_guitarists,Kenny Wayne Shepherd,1riHqX633Kup3mJAw8WR8p
Damn Yankees,,,,,,,Damn Yankees,7ihLzUpuNecU5VBkvOUDNq
INXS,,,"[[Sydney, New South Wales]], Australia",,,,INXS,1eClJfHLoDI4rZe5HxzBFv
R.E.M.,,,"[[Athens, Georgia]], U.S.",,,,R.E.M.,4KWTAlx2RvbpseOGMEmROg
Pantera,"* [[Rex Brown]]
* [[Phil Anselmo]]",,"[[Arlington, Texas]], U.S.",,,,Pantera,14pVkFUHDL207LzLHtSA18
Collective Soul,"* [[Ed Roland]]
* [[Dean Roland]]
* [[Will Turpin]]
* [[Johnny Rabb]]
* [[Jesse Triplett]]",,"[[Stockbridge, Georgia]], U.S.",,,,Collective Soul,4e5V1Q2dKCzbLVMQ8qbTn6
Porno for Pyros,"*[[Perry Farrell]]
*[[Stephen Perkins]]
*[[Peter DiStefano]]
*[[Martyn LeNoble]]
*[[Mike Watt]]",,"[[Los Angeles]], [[California]], United States",,,,Porno for Pyros,58etTNn7xmsQZhjnfjpAXL
Bad Company,"* [[Simon Kirke]]
* [[Paul Rodgers]]
* [[Howard Leese]]
* Todd Ronning",,"[[Albury, Surrey]], England",,,,Bad Company,5AEG63ajney2BoDXi0Vb84
Deftones,"* [[Stephen Carpenter]]
* [[Abe Cunningham]]
* [[Chino Moreno]]
* [[Frank Delgado (American musician)|Frank Delgado]]",,"[[Sacramento, California]], U.S.",,,,Deftones,6Ghvu1VvMGScGpOUJBAHNH
Nine Inch Nails,"{{plainlist|
* [[Trent Reznor]]
* [[Atticus Ross]]}}",,"[[Cleveland|Cleveland, Ohio]], U.S.",,,,Nine Inch Nails,0X380XXQSNBYuleKzav5UO
Jane's Addiction,"* [[Perry Farrell]]
* [[Dave Navarro]]
* [[Stephen Perkins]]
* [[Chris Chaney]]",,"[[Los Angeles]], California, U.S.",,,,Jane's Addiction,02NfyD6AlLA12crYzw5YcR
Alannah Myles,,Alannah Byles,"[[Toronto]], [[Ontario]], Canada",{{Birth date and age|1958|12|25|mf|=|y}},,,Alannah Myles,6IYnSXO40Bh7Zdqhf6rQoj
Red Hot Chili Peppers,"* [[Anthony Kiedis]]
* [[Flea (musician)|Flea]]
* [[Chad Smith]]
* [[John Frusciante]]",,"[[Los Angeles]], [[California]], U.S.",,,,Red Hot Chili Peppers,0L8ExT028jH3ddEcZwqJJ5
Buckcherry,"* [[Josh Todd (musician)|Josh Todd]]
* Stevie D.
* [[Kelly LeMieux]]
* Francis Ruiz
*Billy Rowe",,"[[Anaheim, California]], U.S.",,,,Buckcherry,0yN7xI1blow9nYIK0R8nM7
Tyrone Wells,,Tyrone Wells,"[[Spokane]], Washington, United States",,,,Tyrone Wells,5zeCSgiRyezbfLiGOpKAsR
Twenty One Pilots,"{{plainlist|
* [[Tyler Joseph]]
* [[Josh Dun]]}}",,"[[Columbus, Ohio]], U.S.",,,,Twenty One Pilots,3YQKmKGau1PzlVlkL1iodx
Yael Naim,,,"[[Paris]], [[France]]",{{Birth date and age|df|=|yes|1978|2|6}},,,Yael Naim,32aFdXARUiqP81SXqIPD4w
Mandy Harvey,,Amanda Lynn Harvey,"[[Cincinnati]], Ohio, U.S.",{{Birth date and age|1988|1|2}},female,American_female_jazz_singers,Mandy Harvey,15BFYS3S38ABXsEs8AVrXL
The Avett Brothers,{{ubl|[[Seth Avett]]|[[Scott Avett]]|Bob Crawford|Joe Kwon}},,"[[Mount Pleasant, North Carolina]], U.S.",,,,The Avett Brothers,196lKsA13K3keVXMDFK66q
Nick Jonas,,Nicholas Jerry Jonas,"[[Dallas]], [[Texas]], U.S.",{{birth date and age|1992|9|16}},male,American_male_singer-songwriters,Nick Jonas,4Rxn7Im3LGfyRkY2FlHhWi
Corinne Bailey Rae,,Corinne Jacqueline Bailey,"{{nowrap|[[Leeds]], England}}",{{birth date and age|1979|2|26|df|=|yes}},female,English_female_singers,Corinne Bailey Rae,29WzbAQtDnBJF09es0uddn
Michael Kiwanuka,,Michael Samuel Kiwanuka,"[[Muswell Hill]], London, England",{{birth date and age|1987|5|3|df|=|y}},,,Michael Kiwanuka,0bzfPKdbXL5ezYW2z3UGQj
Don McLean,,Donald McLean III,"[[New Rochelle, New York]], U.S.",{{birth date and age|1945|10|2}},male,American_male_guitarists,Don McLean,1gRNBaI4yn6wCCTvRhGWh8
Travis Scott,,Jacques Bermon Webster II,"[[Houston]], Texas, U.S.",{{Birth date and age|1991|4|30}},male,African-American_male_rappers,Travis Scott,0Y5tJX1MQlPlqiwlOH1tJY
Loren Allred,,,"[[Pittsburgh]], [[Pennsylvania]], U.S.",{{Birth date and age|1989|09|07}} {{citation needed|date|=|April 2021}},,,Loren Allred,0LyOADBjj28cbvJWTXUEGA
Belinda Carlisle,,Belinda Jo Carlisle,"[[Los Angeles]], [[California]], U.S.",{{birth date and age|1958|8|17}},female,American_female_pop_singers,Belinda Carlisle,7xkAwz0bQTGDSbkofyQt3U
Edwin McCain,,Edwin Cole McCain,"[[Charleston, South Carolina]], U.S",{{birth date and age|1970|01|20}},male,American_male_guitarists,Edwin McCain,0L6Gwm0JDrgIQJfjarWSUR
Lonestar,"*Michael Britt
*Dean Sams
*Keech Rainwater
*Drew Womack",,"[[Nashville, Tennessee]], U.S.",,,,Lonestar,3qbnxnvUqR14MJ9g8QwZJK
Faith Hill,,Audrey Faith Perry,"[[Ridgeland, Mississippi]], U.S.",{{Birth date and age|mf|=|y|1967|9|21}},female,American_female_country_singers,Faith Hill,25NQNriVT2YbSW80ILRWJa
Roy Purdy,,,"[[Appleton, Wisconsin]]",{{Birth year and age|1998}},,,Roy Purdy,4L5pU0bVZSnSM8njCZO7Yj
Bryce Vine,,Bryce Ross-Johnson,"[[New York City]], [[New York (state)|New York]], U.S.",{{Birth date and age|1988|06|16}},,,Bryce Vine,1ShZZUjkbXCjhwrb18BA8I
Wrabel,,Stephen Wrabel,"[[New York (state)|State of New York]], U.S.",{{Birth date and age|1989|1|7}},male,American_male_singer-songwriters,Wrabel,7r2uG6BlFXKcwmh9ItqlII
The Rembrandts,{{ubl|Phil Solem|[[Danny Wilde (musician)|Danny Wilde]]}},,"[[Los Angeles]], [[California]], U.S.",,,,The Rembrandts,0gDg7FEsF4Y1jWddJJgcn4
Quinn XCII,,Mikael Temrowski,"[[Detroit]], [[Michigan]], U.S.",{{birth date and age|1992|5|6}},,,Quinn XCII,3ApUX1o6oSz321MMECyIYd
Cody Simpson,,Cody Robert Simpson,"[[Gold Coast, Queensland]], Australia",{{Birth date and age|df|=|yes|1997|1|11}},male,Australian_male_singers,Cody Simpson,79Xp2rRN7wdsaTJgttdX3K
Brett Dennen,,Brett Michael Dennen,"[[Oakdale, California]], [[U.S.]]",{{Birth date and age|1979|10|28}},male,American_male_guitarists,Brett Dennen,0FC1LIeQXKib0jOwZqeIwT
Mipso,Wood Robinson<br />Libby Rodenbough<br />Jacob Sharp<br />Joseph Terrell,,"[[Chapel Hill, North Carolina]], [[United States|U.S.]]",,,,Mipso,5Bcrb5qQMVTEbJ43fdIS4A
The Weeknd,,Abel Makkonen Tesfaye,"[[Toronto|Toronto, Ontario]], Canada",{{Birth date and age|1990|2|16}},,,The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ
William Michael Morgan,,,"[[Vicksburg, Mississippi]], United States",{{birth date and age|1993|05|13}},male,American_country_singers,William Michael Morgan,03tfKFHhDoDqF73vCI3cxn
Keith Anderson,,,"[[Miami, Oklahoma]]",{{birth date and age|1968|01|12}},male,American_country_singers,Keith Anderson,4AgQTHagFdBq8VL791lSXz
Rhett Akins,,Thomas Rhett Akins Sr.,"[[Valdosta, Georgia]], U.S.",{{birth date and age|1969|10|13}},male,American_country_singers,Rhett Akins,4qivGtDBIkQFLCeduRpi24
George Strait,,George Harvey Strait,"[[Pearsall, Texas]], U.S. {{sfn|Bego|2001|p|=|7}}",{{birth date and age|1952|05|18}},male,American_country_singers,George Strait,5vngPClqofybhPERIqQMYd
Doug Supernaw,,Douglas Anderson Supernaw,"[[Bryan, Texas]], U.S.",{{birth date|1960|9|26}},male,American_country_singers,Doug Supernaw,0OraDGrDGEuqJ2d7250K1i
Walker McGuire,,,"[[Nashville, Tennessee]], U.S.",,,,Walker McGuire,6jDzxywOhu6CcmS8MVzWlL
John Michael Montgomery,,,"[[Nicholasville, Kentucky]], U.S.","{{birth date and age
|1965|1|20}}",male,American_country_singers,John Michael Montgomery,7mPcfx7PhnBh6n4HMCd61A
Tracy Byrd,,Tracy Lynn Byrd,"[[Vidor, Texas|Vidor]], Texas, United States",{{birth date and age|1966|12|17}},male,American_country_singers,Tracy Byrd,0xxJO75NeIAF5jYruLYIDT
David Nail,,David Brent Nail,"[[Kennett, Missouri]], U.S.",{{birth date and age|1979|05|18}},male,American_country_singers,David Nail,4DZGvSv2oMkBUnPz67E6z6
Bryan White,,Bryan Shelton White,"[[Lawton, Oklahoma|Lawton]], [[Oklahoma]], [[United States|U.S.]]",{{Birth date and age|1974|02|17}},male,American_country_singers,Bryan White,45kyLFJs5SIEqyzfVopuSc
Tracy Lawrence,,Tracy Lee Lawrence,"[[Nashville, Tennessee]], U.S.",{{birth date and age|1968|01|27}},male,American_country_singers,Tracy Lawrence,2BQVRw9md4UKcGUrDXABCD
Diamond Rio,{{hlist| Dan Truman|Marty Roe|Jimmy Olander|Brian Prout|Gene Johnson|Dana Williams}},,"[[Nashville, Tennessee]], United States",,,,Diamond Rio,0svyIX7Xu3DVMkrOtB88i6
Joe Nichols,,Joseph Edward Nichols,"[[Rogers, Arkansas]], U.S.",{{birth date and age|1976|11|26}},male,American_country_singers,Joe Nichols,4aJTB79uwT4sP0Nb8QGWHc
Tiffany Travis,,,"[[Picayune, Mississippi]]",{{Birth date and age|1978|3|20|mf|=|y}},,,Tiffany Travis,4DnUC6yWt590GiL38PA2B3
Drake,,Aubrey Drake Graham,"[[Toronto|Toronto, Ontario]], Canada",{{Birth date and age|1986|10|24}},male,Canadian_male_singers,Drake,3TVXtAsR1Inumwj472S9r4
MercyMe,"* [[Bart Millard]]
* Nathan Cochran
* Michael John Scheuchzer
* Robby Shaffer
* Barry Graul",,"[[Edmond, Oklahoma]], U.S.",,,,MercyMe,6APm8EjxOHSYM5B4i3vT3q
Casting Crowns,"*[[Mark Hall (musician)|Mark Hall]]
*Juan DeVevo
*Josh Mix
*Melodee DeVevo
*Megan Garrett
*Jack Williams
*John Michael Hall",,"[[Daytona Beach, Florida]], U.S.",,,,Casting Crowns,6eJqAWJdd8JhAN1pQGie4r
